video_id,viewCount,likeCount,dislikeCount,comment,neg,neu,pos,compound
_WkEkEw3qjU,543,8,0,,,,,
ariaS8yMX5k,71,6,0,,,,,
M40uDFpI4XY,3879,105,0,Good memories for the further,0.0,0.58,0.42,0.4404
M40uDFpI4XY,3879,105,0,🫰🏻🫰🏻🫰🏻,0.0,1.0,0.0,0.0
M40uDFpI4XY,3879,105,0,Nice,0.0,0.0,1.0,0.4215
M40uDFpI4XY,3879,105,0,👌👌👌🥰🥰🥰🎉,0.0,0.189,0.811,0.9918
M40uDFpI4XY,3879,105,0,வாழ்க வளமுடன் வாழ்க நலமுடன்,0.0,1.0,0.0,0.0
M40uDFpI4XY,3879,105,0,👌👌👌,0.0,0.0,1.0,0.9545
M40uDFpI4XY,3879,105,0,Appa miss you,0.444,0.556,0.0,-0.1531
M40uDFpI4XY,3879,105,0,❤❤❤❤,0.0,0.192,0.808,0.9571
MlciKQnQh_g,444,21,0,👍🙏🎉❤,0.0,0.465,0.535,0.7845000000000001
oxsNym4tZFk,332,15,0,👍👍👍🌹🌹🌹 சூப்பரான பாடல்🌹🌹🌹👍🌹👍,0.0,1.0,0.0,0.0
oxsNym4tZFk,332,15,0,Bravo,0.0,1.0,0.0,0.0
oxsNym4tZFk,332,15,0,🥰🥰👌👌🎉,0.0,0.191,0.809,0.9827
MaGk6ZI8Cj8,77,6,0,,,,,
4mHj-zwXI_0,480,16,0,,,,,
d9q8G60k2LI,58,5,0,,,,,
i-Xq9SVJGts,842,18,0,👌👌👌👌👌👌,0.0,0.0,1.0,0.988
q_NIalv_ArA,1493,27,0,Yaara antha paiyan 💙💙💙👌👌👌,0.0,0.162,0.838,0.9849
q_NIalv_ArA,1493,27,0,🤣🤣🤣🤣🤣🤣🤣🤣👌👌👌👌👌👍👍👍👍👍👍🌹,0.0,0.444,0.556,0.9949
q_NIalv_ArA,1493,27,0,🎉🎉🎉🎉🎉🎉,0.0,0.27,0.73,0.9349
q_NIalv_ArA,1493,27,0,👌👌👌,0.0,0.0,1.0,0.9545
ndzk17KdOhs,73,2,0,,,,,
79KE7ALzgog,59,5,0,,,,,
Kmk-aXCXxIE,82,10,0,,,,,
5CAJKf0kz8M,446,17,0,சூப்பர்,0.0,1.0,0.0,0.0
5CAJKf0kz8M,446,17,0,nice voice🎉,0.0,0.267,0.733,0.6705
5CAJKf0kz8M,446,17,0,😊😊😊❤❤❤,0.0,0.282,0.718,0.9843
5CAJKf0kz8M,446,17,0,அண்ணா உங்கள் திறமை மிகவும் சிறப்பாக உள்ளது 👌👌👌,0.0,0.246,0.754,0.9545
5CAJKf0kz8M,446,17,0,👌👌,0.0,0.0,1.0,0.9055
5CAJKf0kz8M,446,17,0,🥰🥰👍👍👌👌🎉🎉🎉,0.0,0.271,0.729,0.9872
ldiMT89o4ko,72,1,0,,,,,
70vKmo4H0q0,398,12,0,Super song,0.0,0.204,0.796,0.5994
maZvZFtTjBo,493,16,0,Super pathivu❤❤❤,0.0,0.195,0.805,0.9552
maZvZFtTjBo,493,16,0,🦚🦚🦚🦚🦚🦚👌,0.0,0.495,0.505,0.7297
