_id,video_id,viewCount,likeCount,dislikeCount
674b0f45248c7e790a122f80,NBgh3eTlZzk,467,14,0
674b0f45248c7e790a122f81,trBWAruhjjo,221,10,0
674b0f46248c7e790a122f82,rv2nKjKu4Ys,96,4,0
674b0f47248c7e790a122f83,oGXkgHmIyTo,92,5,0
674b0f48248c7e790a122f84,I4kGyPdcEXY,274,7,0
674b0f49248c7e790a122f85,01YbEEPWi8M,1318,22,0
674b0f4a248c7e790a122f86,c6i-GmPA2gs,422,13,0
674b0f4b248c7e790a122f87,DW2QyK9D4zA,551,23,0
674b0f4b248c7e790a122f88,R4GqDpCrRoY,111,14,0
674b0f4c248c7e790a122f89,VGx19suHCwU,2737,216,0
674b0f4d248c7e790a122f8a,ojvzN-X0gms,499,15,0
674b0f4e248c7e790a122f8b,_WkEkEw3qjU,543,8,0
674b0f4f248c7e790a122f8c,ariaS8yMX5k,71,6,0
674b0f50248c7e790a122f8d,M40uDFpI4XY,3879,105,0
674b0f50248c7e790a122f8e,MlciKQnQh_g,444,21,0
674b0f51248c7e790a122f8f,oxsNym4tZFk,332,15,0
674b0f52248c7e790a122f90,MaGk6ZI8Cj8,77,6,0
674b0f53248c7e790a122f91,4mHj-zwXI_0,480,16,0
674b0f54248c7e790a122f92,d9q8G60k2LI,58,5,0
674b0f55248c7e790a122f93,i-Xq9SVJGts,842,18,0
674b0f55248c7e790a122f94,q_NIalv_ArA,1493,27,0
674b0f56248c7e790a122f95,ndzk17KdOhs,73,2,0
674b0f57248c7e790a122f96,79KE7ALzgog,59,5,0
674b0f58248c7e790a122f97,Kmk-aXCXxIE,82,10,0
674b0f59248c7e790a122f98,5CAJKf0kz8M,446,17,0
674b0f5a248c7e790a122f99,ldiMT89o4ko,72,1,0
674b0f5b248c7e790a122f9a,70vKmo4H0q0,398,12,0
674b0f5c248c7e790a122f9b,maZvZFtTjBo,493,16,0
674b0f5d248c7e790a122f9c,yEaYg69qxcQ,1014,15,0
674b0f5d248c7e790a122f9d,yB2qzN-3ge8,166,7,0
674b0f5e248c7e790a122f9e,jsfyWn4VRWg,100,0,0
674b0f5f248c7e790a122f9f,CpEq2SygrCs,68,2,0
674b0f61248c7e790a122fa0,EhUG0ti29jw,52,2,0
674b0f62248c7e790a122fa1,_SaM4CFoYuU,501,14,0
674b0f63248c7e790a122fa2,jXL79MyjuSs,420,8,0
674b0f64248c7e790a122fa3,cFj18KZ3hWA,471,16,0
674b0f65248c7e790a122fa4,F2-Ua8E1oPo,544,11,0
674b0f66248c7e790a122fa5,igTbACiueNQ,560,9,0
674b0f67248c7e790a122fa6,mR2jivnUHBg,444,13,0
674b0f69248c7e790a122fa7,IP-KnpQeyzw,110,11,0
674b0f6b248c7e790a122fa8,9gF3OSsZeAI,461,11,0
674b0f6c248c7e790a122fa9,9WEfcG2i7v0,136,12,0
674b0f6d248c7e790a122faa,9ShGty02yOc,70,7,0
674b0f6e248c7e790a122fab,Tww8udy7tKU,452,14,0
674b0f6f248c7e790a122fac,ml9rx4U14rQ,891,21,0
674b0f70248c7e790a122fad,P13KYPOtOjw,81,12,0
674b0f70248c7e790a122fae,IdwUwGUb5lc,140,11,0
674b0f71248c7e790a122faf,5qWkKufgN64,163,16,0
674b0f72248c7e790a122fb0,nn-MqLFyszA,455,15,0
674b0f73248c7e790a122fb1,7Jb1N0_AJu0,149,10,0
674b0f74248c7e790a122fb2,af-Us-7vDJQ,7720,154,0
674b0f75248c7e790a122fb3,540wfhaZBFE,610,22,0
674b0f75248c7e790a122fb4,fXAvT9-jUAY,74,5,0
674b0f76248c7e790a122fb5,9yB3cKR6NE0,415,15,0
674b0f77248c7e790a122fb6,vLqAohHcUZQ,2550,25,0
674b0f78248c7e790a122fb7,UBi5S2fSNw0,177,7,0
674b0f79248c7e790a122fb8,3j1g8EXb-a8,72,10,0
674b0f79248c7e790a122fb9,I6vTDZCe28o,553,18,0
674b0f7a248c7e790a122fba,25yXh7_2EOc,1016,19,0
674b0f7b248c7e790a122fbb,i0AufSGLSxo,22,1,0
674b0f7c248c7e790a122fbc,ivjLzCqIcNM,59,5,0
674b0f7d248c7e790a122fbd,ekiGn947x64,92,0,0
674b0f7d248c7e790a122fbe,C7G4ubhuGUw,175,7,0
674b0f7e248c7e790a122fbf,MqMuZ0z9qw4,427,9,0
